Time (EpSec),x (km),y (km),z (km),Angle (deg),Angle (deg)
14.7,18881.57,-37702.49503,-39.405039,113.514,4.511
14.8,18881.84493,-37702.35734,-39.405629,113.515,4.512
14.9,18882.11986,-37702.21965,-39.406219,113.515,4.512
15,18882.39479,-37702.08196,-39.406809,113.516,4.513
15.1,18882.66972,-37701.94427,-39.407399,113.517,4.513
15.2,18882.94464,-37701.80657,-39.407989,113.517,4.514
15.3,18883.21957,-37701.66887,-39.408579,113.518,4.514
15.4,18883.49449,-37701.53117,-39.409169,113.518,4.515
15.5,18883.76941,-37701.39347,-39.409759,113.519,4.515
15.6,18884.04434,-37701.25577,-39.410349,113.519,4.516
15.7,18884.31926,-37701.11806,-39.410939,113.52,4.516
15.8,18884.59418,-37700.98035,-39.411529,113.52,4.517
15.9,18884.8691,-37700.84264,-39.412119,113.521,4.518
16,18885.14401,-37700.70493,-39.41271,113.521,4.518
16.1,18885.41893,-37700.56722,-39.4133,113.522,4.519
16.2,18885.69385,-37700.4295,-39.41389,113.523,4.519
16.3,18885.96876,-37700.29179,-39.41448,113.523,4.52
16.4,18886.24367,-37700.15407,-39.41507,113.524,4.52
16.5,18886.51859,-37700.01634,-39.41566,113.524,4.521
16.6,18886.7935,-37699.87862,-39.41625,113.525,4.521
16.7,18887.06841,-37699.74089,-39.41684,113.525,4.522
16.8,18887.34332,-37699.60317,-39.41743,113.526,4.522
16.9,18887.61823,-37699.46544,-39.41802,113.526,4.523
17,18887.89314,-37699.3277,-39.41861,113.527,4.523
17.1,18888.16804,-37699.18997,-39.4192,113.528,4.524
17.2,18888.44295,-37699.05223,-39.41979,113.528,4.524
17.3,18888.71785,-37698.9145,-39.42038,113.529,4.525
17.4,18888.99276,-37698.77675,-39.42097,113.529,4.525
17.5,18889.26766,-37698.63901,-39.42156,113.53,4.526
17.6,18889.54256,-37698.50127,-39.42215,113.53,4.526
17.7,18889.81746,-37698.36352,-39.42274,113.531,4.527
17.8,18890.09236,-37698.22578,-39.42333,113.531,4.527
17.9,18890.36726,-37698.08802,-39.42392,113.532,4.528
18,18890.64216,-37697.95027,-39.42451,113.533,4.528
18.1,18890.91705,-37697.81252,-39.4251,113.533,4.529
18.2,18891.19195,-37697.67476,-39.42569,113.534,4.529
18.3,18891.46684,-37697.537,-39.42628,113.534,4.53
18.4,18891.74174,-37697.39924,-39.42687,113.535,4.53
18.5,18892.01663,-37697.26148,-39.42746,113.535,4.531
18.6,18892.29152,-37697.12372,-39.42805,113.536,4.531
18.7,18892.56641,-37696.98595,-39.42864,113.536,4.532
18.8,18892.8413,-37696.84818,-39.42923,113.537,4.532
18.9,18893.11619,-37696.71041,-39.42982,113.537,4.533
19,18893.39108,-37696.57264,-39.43041,113.538,4.533
19.1,18893.66597,-37696.43487,-39.431,113.539,4.534
19.2,18893.94085,-37696.29709,-39.43159,113.539,4.534
19.3,18894.21574,-37696.15931,-39.43218,113.54,4.535
19.4,18894.49062,-37696.02153,-39.43277,113.54,4.535
19.5,18894.7655,-37695.88375,-39.43336,113.541,4.536
19.6,18895.04038,-37695.74597,-39.43395,113.541,4.536
19.7,18895.31526,-37695.60818,-39.43454,113.542,4.537
19.8,18895.59014,-37695.47039,-39.43513,113.542,4.537
19.9,18895.86502,-37695.3326,-39.43572,113.543,4.538
20,18896.1399,-37695.19481,-39.43631,113.544,4.538
20.1,18896.41478,-37695.05702,-39.4369,113.544,4.539
20.2,18896.68965,-37694.91922,-39.43749,113.545,4.539
20.3,18896.96453,-37694.78142,-39.43808,113.545,4.54
20.4,18897.2394,-37694.64362,-39.43867,113.546,4.541
20.5,18897.51427,-37694.50582,-39.43926,113.546,4.541
20.6,18897.78915,-37694.36802,-39.43985,113.547,4.542
20.7,18898.06402,-37694.23021,-39.44044,113.547,4.542
20.8,18898.33889,-37694.0924,-39.44103,113.548,4.543
20.9,18898.61375,-37693.95459,-39.44162,113.549,4.543
21,18898.88862,-37693.81678,-39.44221,113.549,4.544
21.1,18899.16349,-37693.67897,-39.4428,113.55,4.544
21.2,18899.43835,-37693.54115,-39.44339,113.55,4.545
21.3,18899.71322,-37693.40333,-39.44398,113.551,4.545
21.4,18899.98808,-37693.26551,-39.44457,113.551,4.546
21.5,18900.26294,-37693.12769,-39.445159,113.552,4.546
21.6,18900.53781,-37692.98986,-39.445749,113.552,4.547
21.7,18900.81267,-37692.85204,-39.446339,113.553,4.547
21.8,18901.08753,-37692.71421,-39.446929,113.554,4.548
21.9,18901.36238,-37692.57638,-39.447519,113.554,4.548
22,18901.63724,-37692.43855,-39.448109,113.555,4.549
22.1,18901.9121,-37692.30071,-39.448699,113.555,4.549
22.2,18902.18695,-37692.16288,-39.449289,113.556,4.55
22.3,18902.46181,-37692.02504,-39.449879,113.556,4.55
22.4,18902.73666,-37691.8872,-39.450469,113.557,4.551
22.5,18903.01151,-37691.74936,-39.451059,113.557,4.551
22.6,18903.28637,-37691.61151,-39.451649,113.558,4.552
22.7,18903.56122,-37691.47367,-39.452239,113.559,4.552
22.8,18903.83607,-37691.33582,-39.452829,113.559,4.553
22.9,18904.11091,-37691.19797,-39.453418,113.56,4.553
23,18904.38576,-37691.06011,-39.454008,113.56,4.554
23.1,18904.66061,-37690.92226,-39.454598,113.561,4.554
23.2,18904.93545,-37690.7844,-39.455188,113.561,4.555
23.3,18905.2103,-37690.64655,-39.455778,113.562,4.555
23.4,18905.48514,-37690.50869,-39.456368,113.562,4.556
23.5,18905.75998,-37690.37082,-39.456958,113.563,4.556
23.6,18906.03482,-37690.23296,-39.457548,113.563,4.557
23.7,18906.30967,-37690.09509,-39.458138,113.564,4.557
23.8,18906.5845,-37689.95722,-39.458728,113.565,4.558
23.9,18906.85934,-37689.81935,-39.459317,113.565,4.558
24,18907.13418,-37689.68148,-39.459907,113.566,4.559
24.1,18907.40902,-37689.54361,-39.460497,113.566,4.559
24.2,18907.68385,-37689.40573,-39.461087,113.567,4.56
24.3,18907.95869,-37689.26785,-39.461677,113.567,4.56
24.4,18908.23352,-37689.12997,-39.462267,113.568,4.561
24.5,18908.50835,-37688.99209,-39.462857,113.568,4.561
24.6,18908.78318,-37688.85421,-39.463447,113.569,4.562
24.7,18909.05801,-37688.71632,-39.464037,113.57,4.562
24.8,18909.33284,-37688.57843,-39.464626,113.57,4.563
24.9,18909.60767,-37688.44054,-39.465216,113.571,4.563
25,18909.8825,-37688.30265,-39.465806,113.571,4.564
25.1,18910.15733,-37688.16475,-39.466396,113.572,4.564
25.2,18910.43215,-37688.02686,-39.466986,113.572,4.565
25.3,18910.70698,-37687.88896,-39.467576,113.573,4.565
25.4,18910.9818,-37687.75106,-39.468166,113.573,4.566
25.5,18911.25662,-37687.61316,-39.468755,113.574,4.566
25.6,18911.53144,-37687.47525,-39.469345,113.575,4.567
25.7,18911.80626,-37687.33735,-39.469935,113.575,4.567
25.8,18912.08108,-37687.19944,-39.470525,113.576,4.568
25.9,18912.3559,-37687.06153,-39.471115,113.576,4.568
26,18912.63072,-37686.92361,-39.471705,113.577,4.569
26.1,18912.90553,-37686.7857,-39.472295,113.577,4.569
26.2,18913.18035,-37686.64778,-39.472884,113.578,4.57
26.3,18913.45516,-37686.50987,-39.473474,113.578,4.57
26.4,18913.72998,-37686.37195,-39.474064,113.579,4.571
26.5,18914.00479,-37686.23402,-39.474654,113.58,4.571
26.6,18914.2796,-37686.0961,-39.475244,113.58,4.572
26.7,18914.55441,-37685.95817,-39.475834,113.581,4.572
26.8,18914.82922,-37685.82024,-39.476423,113.581,4.573
26.9,18915.10403,-37685.68231,-39.477013,113.582,4.573
27,18915.37883,-37685.54438,-39.477603,113.582,4.574
27.1,18915.65364,-37685.40645,-39.478193,113.583,4.574
27.2,18915.92845,-37685.26851,-39.478783,113.584,4.575
27.3,18916.20325,-37685.13057,-39.479373,113.584,4.575
27.4,18916.47805,-37684.99263,-39.479962,113.585,4.576
27.5,18916.75286,-37684.85469,-39.480552,113.585,4.576
27.6,18917.02766,-37684.71674,-39.481142,113.586,4.577
27.7,18917.30246,-37684.5788,-39.481732,113.586,4.577
27.8,18917.57726,-37684.44085,-39.482322,113.587,4.578
27.9,18917.85205,-37684.3029,-39.482911,113.587,4.578
28,18918.12685,-37684.16495,-39.483501,113.588,4.579
28.1,18918.40165,-37684.02699,-39.484091,113.589,4.579
28.2,18918.67644,-37683.88904,-39.484681,113.589,4.58
28.3,18918.95124,-37683.75108,-39.485271,113.59,4.581
28.4,18919.22603,-37683.61312,-39.48586,113.59,4.581
28.5,18919.50082,-37683.47515,-39.48645,113.591,4.582
28.6,18919.77561,-37683.33719,-39.48704,113.591,4.582
28.7,18920.0504,-37683.19922,-39.48763,113.592,4.583
28.8,18920.32519,-37683.06125,-39.48822,113.592,4.583
28.9,18920.59998,-37682.92328,-39.488809,113.593,4.584
29,18920.87477,-37682.78531,-39.489399,113.594,4.584
29.1,18921.14955,-37682.64734,-39.489989,113.594,4.585
29.2,18921.42434,-37682.50936,-39.490579,113.595,4.585
29.3,18921.69912,-37682.37138,-39.491169,113.595,4.586
29.4,18921.97391,-37682.2334,-39.491758,113.596,4.586
29.5,18922.24869,-37682.09542,-39.492348,113.596,4.587
29.6,18922.52347,-37681.95743,-39.492938,113.597,4.587
29.7,18922.79825,-37681.81945,-39.493528,113.597,4.588
29.8,18923.07303,-37681.68146,-39.494117,113.598,4.588
29.9,18923.34781,-37681.54347,-39.494707,113.599,4.589
30,18923.62258,-37681.40548,-39.495297,113.599,4.589
30.1,18923.89736,-37681.26748,-39.495887,113.6,4.59
30.2,18924.17213,-37681.12948,-39.496476,113.6,4.59
30.3,18924.44691,-37680.99149,-39.497066,113.601,4.591
30.4,18924.72168,-37680.85349,-39.497656,113.601,4.591
30.5,18924.99645,-37680.71548,-39.498246,113.602,4.592
30.6,18925.27122,-37680.57748,-39.498835,113.602,4.592
30.7,18925.54599,-37680.43947,-39.499425,113.603,4.593
30.8,18925.82076,-37680.30146,-39.500015,113.604,4.593
30.9,18926.09553,-37680.16345,-39.500605,113.604,4.594
31,18926.3703,-37680.02544,-39.501194,113.605,4.594
31.1,18926.64506,-37679.88743,-39.501784,113.605,4.595
31.2,18926.91983,-37679.74941,-39.502374,113.606,4.595
31.3,18927.19459,-37679.61139,-39.502964,113.606,4.596
31.4,18927.46936,-37679.47337,-39.503553,113.607,4.596
31.5,18927.74412,-37679.33535,-39.504143,113.608,4.597
31.6,18928.01888,-37679.19732,-39.504733,113.608,4.597
31.7,18928.29364,-37679.0593,-39.505323,113.609,4.598
31.8,18928.5684,-37678.92127,-39.505912,113.609,4.598
31.9,18928.84316,-37678.78324,-39.506502,113.61,4.599
32,18929.11791,-37678.6452,-39.507092,113.61,4.599
32.1,18929.39267,-37678.50717,-39.507681,113.611,4.6
32.2,18929.66742,-37678.36913,-39.508271,113.611,4.6
32.3,18929.94218,-37678.23109,-39.508861,113.612,4.601
32.4,18930.21693,-37678.09305,-39.509451,113.613,4.601
32.5,18930.49168,-37677.95501,-39.51004,113.613,4.602
32.6,18930.76643,-37677.81697,-39.51063,113.614,4.602
32.7,18931.04118,-37677.67892,-39.51122,113.614,4.603
32.8,18931.31593,-37677.54087,-39.511809,113.615,4.603
32.9,18931.59068,-37677.40282,-39.512399,113.615,4.604
33,18931.86543,-37677.26477,-39.512989,113.616,4.604
33.1,18932.14017,-37677.12671,-39.513579,113.616,4.605
33.2,18932.41492,-37676.98866,-39.514168,113.617,4.605
33.3,18932.68966,-37676.8506,-39.514758,113.618,4.606
33.4,18932.9644,-37676.71254,-39.515348,113.618,4.606
33.5,18933.23915,-37676.57447,-39.515937,113.619,4.607
33.6,18933.51389,-37676.43641,-39.516527,113.619,4.607
33.7,18933.78863,-37676.29834,-39.517117,113.62,4.608
33.8,18934.06337,-37676.16027,-39.517706,113.62,4.608
33.9,18934.3381,-37676.0222,-39.518296,113.621,4.609
34,18934.61284,-37675.88413,-39.518886,113.622,4.609
34.1,18934.88758,-37675.74606,-39.519475,113.622,4.61
34.2,18935.16231,-37675.60798,-39.520065,113.623,4.61
34.3,18935.43704,-37675.4699,-39.520655,113.623,4.611
34.4,18935.71178,-37675.33182,-39.521244,113.624,4.611
34.5,18935.98651,-37675.19374,-39.521834,113.624,4.612
34.6,18936.26124,-37675.05565,-39.522424,113.625,4.612
34.7,18936.53597,-37674.91757,-39.523013,113.625,4.613
34.8,18936.8107,-37674.77948,-39.523603,113.626,4.613
34.9,18937.08543,-37674.64139,-39.524193,113.627,4.614
35,18937.36015,-37674.50329,-39.524782,113.627,4.614
35.1,18937.63488,-37674.3652,-39.525372,113.628,4.615
35.2,18937.9096,-37674.2271,-39.525962,113.628,4.615
35.3,18938.18433,-37674.089,-39.526551,113.629,4.616
35.4,18938.45905,-37673.9509,-39.527141,113.629,4.616
35.5,18938.73377,-37673.8128,-39.527731,113.63,4.617
35.6,18939.00849,-37673.6747,-39.52832,113.63,4.617
35.7,18939.28321,-37673.53659,-39.52891,113.631,4.618
35.8,18939.55793,-37673.39848,-39.5295,113.632,4.618
35.9,18939.83265,-37673.26037,-39.530089,113.632,4.619
36,18940.10736,-37673.12226,-39.530679,113.633,4.619
36.1,18940.38208,-37672.98414,-39.531269,113.633,4.62
36.2,18940.65679,-37672.84602,-39.531858,113.634,4.62
36.3,18940.93151,-37672.70791,-39.532448,113.634,4.621
36.4,18941.20622,-37672.56979,-39.533037,113.635,4.621
36.5,18941.48093,-37672.43166,-39.533627,113.636,4.622
36.6,18941.75564,-37672.29354,-39.534217,113.636,4.622
36.7,18942.03035,-37672.15541,-39.534806,113.637,4.623
36.8,18942.30506,-37672.01728,-39.535396,113.637,4.623
36.9,18942.57977,-37671.87915,-39.535986,113.638,4.624
37,18942.85448,-37671.74102,-39.536575,113.638,4.624
37.1,18943.12918,-37671.60288,-39.537165,113.639,4.625
37.2,18943.40389,-37671.46475,-39.537754,113.639,4.625
37.3,18943.67859,-37671.32661,-39.538344,113.64,4.626
37.4,18943.95329,-37671.18847,-39.538934,113.641,4.626
37.5,18944.22799,-37671.05032,-39.539523,113.641,4.627
37.6,18944.50269,-37670.91218,-39.540113,113.642,4.627
37.7,18944.77739,-37670.77403,-39.540702,113.642,4.628
37.8,18945.05209,-37670.63588,-39.541292,113.643,4.628
37.9,18945.32679,-37670.49773,-39.541882,113.643,4.629
38,18945.60149,-37670.35958,-39.542471,113.644,4.629
38.1,18945.87618,-37670.22143,-39.543061,113.645,4.629
38.2,18946.15088,-37670.08327,-39.54365,113.645,4.63
38.3,18946.42557,-37669.94511,-39.54424,113.646,4.63
38.4,18946.70026,-37669.80695,-39.54483,113.646,4.631
38.5,18946.97495,-37669.66879,-39.545419,113.647,4.631
38.6,18947.24964,-37669.53062,-39.546009,113.647,4.632
38.7,18947.52433,-37669.39245,-39.546598,113.648,4.632
38.8,18947.79902,-37669.25429,-39.547188,113.649,4.633
38.9,18948.07371,-37669.11612,-39.547777,113.649,4.633
39,18948.3484,-37668.97794,-39.548367,113.65,4.634
39.1,18948.62308,-37668.83977,-39.548957,113.65,4.634
39.2,18948.89777,-37668.70159,-39.549546,113.651,4.635
39.3,18949.17245,-37668.56341,-39.550136,113.651,4.635
39.4,18949.44713,-37668.42523,-39.550725,113.652,4.636
39.5,18949.72181,-37668.28705,-39.551315,113.652,4.636
39.6,18949.99649,-37668.14886,-39.551904,113.653,4.637
39.7,18950.27117,-37668.01068,-39.552494,113.654,4.637
39.8,18950.54585,-37667.87249,-39.553084,113.654,4.638
39.9,18950.82053,-37667.7343,-39.553673,113.655,4.638
40,18951.0952,-37667.5961,-39.554263,113.655,4.639
40.1,18951.36988,-37667.45791,-39.554852,113.656,4.639
40.2,18951.64455,-37667.31971,-39.555442,113.656,4.64
40.3,18951.91923,-37667.18151,-39.556031,113.657,4.64
40.4,18952.1939,-37667.04331,-39.556621,113.658,4.641
40.5,18952.46857,-37666.90511,-39.55721,113.658,4.641
40.6,18952.74324,-37666.7669,-39.5578,113.659,4.642
40.7,18953.01791,-37666.6287,-39.55839,113.659,4.642
40.8,18953.29258,-37666.49049,-39.558979,113.66,4.643
40.9,18953.56725,-37666.35228,-39.559569,113.66,4.643
41,18953.84191,-37666.21406,-39.560158,113.661,4.644
41.1,18954.11658,-37666.07585,-39.560748,113.661,4.644
41.2,18954.39124,-37665.93763,-39.561337,113.662,4.645
41.3,18954.6659,-37665.79941,-39.561927,113.663,4.645
41.4,18954.94057,-37665.66119,-39.562516,113.663,4.646
41.5,18955.21523,-37665.52297,-39.563106,113.664,4.646
41.6,18955.48989,-37665.38475,-39.563695,113.664,4.647
41.7,18955.76455,-37665.24652,-39.564285,113.665,4.647
41.8,18956.03921,-37665.10829,-39.564874,113.665,4.648
41.9,18956.31386,-37664.97006,-39.565464,113.666,4.648
42,18956.58852,-37664.83183,-39.566053,113.667,4.649
42.1,18956.86317,-37664.69359,-39.566643,113.667,4.649
42.2,18957.13783,-37664.55535,-39.567232,113.668,4.65
42.3,18957.41248,-37664.41711,-39.567822,113.668,4.65
42.4,18957.68713,-37664.27887,-39.568411,113.669,4.651
42.5,18957.96179,-37664.14063,-39.569001,113.669,4.651
42.6,18958.23644,-37664.00238,-39.56959,113.67,4.652
42.7,18958.51108,-37663.86414,-39.57018,113.671,4.652
42.8,18958.78573,-37663.72589,-39.570769,113.671,4.653
42.9,18959.06038,-37663.58764,-39.571359,113.672,4.653
43,18959.33503,-37663.44939,-39.571948,113.672,4.654
43.1,18959.60967,-37663.31113,-39.572538,113.673,4.654
43.2,18959.88432,-37663.17287,-39.573127,113.673,4.655
43.3,18960.15896,-37663.03461,-39.573717,113.674,4.655
43.4,18960.4336,-37662.89635,-39.574306,113.674,4.656
43.5,18960.70824,-37662.75809,-39.574896,113.675,4.656
43.6,18960.98288,-37662.61983,-39.575485,113.676,4.657
43.7,18961.25752,-37662.48156,-39.576075,113.676,4.657
43.8,18961.53216,-37662.34329,-39.576664,113.677,4.658
43.9,18961.8068,-37662.20502,-39.577254,113.677,4.658
44,18962.08143,-37662.06675,-39.577843,113.678,4.659
44.1,18962.35607,-37661.92847,-39.578433,113.678,4.659
44.2,18962.6307,-37661.79019,-39.579022,113.679,4.66
44.3,18962.90533,-37661.65192,-39.579612,113.68,4.66
44.4,18963.17997,-37661.51363,-39.580201,113.68,4.661
44.5,18963.4546,-37661.37535,-39.58079,113.681,4.661
44.6,18963.72923,-37661.23707,-39.58138,113.681,4.662
44.7,18964.00386,-37661.09878,-39.581969,113.682,4.662
44.8,18964.27848,-37660.96049,-39.582559,113.682,4.663
44.9,18964.55311,-37660.8222,-39.583148,113.683,4.663
45,18964.82774,-37660.68391,-39.583738,113.684,4.664
45.1,18965.10236,-37660.54561,-39.584327,113.684,4.664
