Time (EpSec),x (km),y (km),z (km),Angle (deg),Angle (deg)
0,18841.14441,-37722.71334,-39.318274,113.434,4.435
0.1,18841.41948,-37722.57595,-39.318864,113.435,4.436
0.2,18841.69456,-37722.43855,-39.319454,113.435,4.436
0.3,18841.96963,-37722.30116,-39.320045,113.436,4.437
0.4,18842.24471,-37722.16376,-39.320635,113.436,4.437
0.5,18842.51978,-37722.02636,-39.321226,113.437,4.438
0.6,18842.79485,-37721.88895,-39.321816,113.437,4.438
0.7,18843.06992,-37721.75155,-39.322406,113.438,4.439
0.8,18843.345,-37721.61414,-39.322997,113.439,4.439
0.9,18843.62006,-37721.47673,-39.323587,113.439,4.44
1,18843.89513,-37721.33932,-39.324177,113.44,4.44
1.1,18844.1702,-37721.20191,-39.324768,113.44,4.441
1.2,18844.44527,-37721.06449,-39.325358,113.441,4.441
1.3,18844.72033,-37720.92707,-39.325949,113.441,4.442
1.4,18844.9954,-37720.78965,-39.326539,113.442,4.442
1.5,18845.27046,-37720.65223,-39.327129,113.442,4.443
1.6,18845.54552,-37720.51481,-39.32772,113.443,4.444
1.7,18845.82058,-37720.37738,-39.32831,113.443,4.444
1.8,18846.09564,-37720.23996,-39.3289,113.444,4.445
1.9,18846.3707,-37720.10253,-39.329491,113.444,4.445
2,18846.64576,-37719.9651,-39.330081,113.445,4.446
2.1,18846.92082,-37719.82766,-39.330671,113.446,4.446
2.2,18847.19587,-37719.69023,-39.331262,113.446,4.447
2.3,18847.47093,-37719.55279,-39.331852,113.447,4.447
2.4,18847.74598,-37719.41535,-39.332442,113.447,4.448
2.5,18848.02104,-37719.27791,-39.333033,113.448,4.448
2.6,18848.29609,-37719.14047,-39.333623,113.448,4.449
2.7,18848.57114,-37719.00302,-39.334213,113.449,4.449
2.8,18848.84619,-37718.86558,-39.334804,113.449,4.45
2.9,18849.12124,-37718.72813,-39.335394,113.45,4.45
3,18849.39629,-37718.59067,-39.335984,113.45,4.451
3.1,18849.67133,-37718.45322,-39.336575,113.451,4.451
3.2,18849.94638,-37718.31577,-39.337165,113.452,4.452
3.3,18850.22143,-37718.17831,-39.337755,113.452,4.452
3.4,18850.49647,-37718.04085,-39.338346,113.453,4.453
3.5,18850.77151,-37717.90339,-39.338936,113.453,4.453
3.6,18851.04656,-37717.76593,-39.339526,113.454,4.454
3.7,18851.3216,-37717.62846,-39.340117,113.454,4.454
3.8,18851.59664,-37717.49099,-39.340707,113.455,4.455
3.9,18851.87168,-37717.35352,-39.341297,113.455,4.456
4,18852.14671,-37717.21605,-39.341888,113.456,4.456
4.1,18852.42175,-37717.07858,-39.342478,113.456,4.457
4.2,18852.69679,-37716.9411,-39.343068,113.457,4.457
4.3,18852.97182,-37716.80363,-39.343659,113.457,4.458
4.4,18853.24686,-37716.66615,-39.344249,113.458,4.458
4.5,18853.52189,-37716.52867,-39.344839,113.459,4.459
4.6,18853.79692,-37716.39118,-39.345429,113.459,4.459
4.7,18854.07195,-37716.2537,-39.34602,113.46,4.46
4.8,18854.34698,-37716.11621,-39.34661,113.46,4.46
4.9,18854.62201,-37715.97872,-39.3472,113.461,4.461
5,18854.89704,-37715.84123,-39.347791,113.461,4.461
5.1,18855.17207,-37715.70373,-39.348381,113.462,4.462
5.2,18855.44709,-37715.56624,-39.348971,113.462,4.462
5.3,18855.72212,-37715.42874,-39.349561,113.463,4.463
5.4,18855.99714,-37715.29124,-39.350152,113.463,4.463
5.5,18856.27217,-37715.15374,-39.350742,113.464,4.464
5.6,18856.54719,-37715.01624,-39.351332,113.465,4.464
5.7,18856.82221,-37714.87873,-39.351923,113.465,4.465
5.8,18857.09723,-37714.74122,-39.352513,113.466,4.465
5.9,18857.37225,-37714.60372,-39.353103,113.466,4.466
6,18857.64727,-37714.4662,-39.353693,113.467,4.466
6.1,18857.92228,-37714.32869,-39.354284,113.467,4.467
6.2,18858.1973,-37714.19118,-39.354874,113.468,4.467
6.3,18858.47232,-37714.05366,-39.355464,113.468,4.468
6.4,18858.74733,-37713.91614,-39.356054,113.469,4.469
6.5,18859.02234,-37713.77862,-39.356645,113.469,4.469
6.6,18859.29735,-37713.64109,-39.357235,113.47,4.47
6.7,18859.57237,-37713.50357,-39.357825,113.471,4.47
6.8,18859.84738,-37713.36604,-39.358415,113.471,4.471
6.9,18860.12238,-37713.22851,-39.359006,113.472,4.471
7,18860.39739,-37713.09098,-39.359596,113.472,4.472
7.1,18860.6724,-37712.95345,-39.360186,113.473,4.472
7.2,18860.94741,-37712.81591,-39.360776,113.473,4.473
7.3,18861.22241,-37712.67837,-39.361367,113.474,4.473
7.4,18861.49742,-37712.54083,-39.361957,113.474,4.474
7.5,18861.77242,-37712.40329,-39.362547,113.475,4.474
7.6,18862.04742,-37712.26575,-39.363137,113.475,4.475
7.7,18862.32242,-37712.1282,-39.363728,113.476,4.475
7.8,18862.59742,-37711.99065,-39.364318,113.477,4.476
7.9,18862.87242,-37711.85311,-39.364908,113.477,4.476
8,18863.14742,-37711.71555,-39.365498,113.478,4.477
8.1,18863.42242,-37711.578,-39.366088,113.478,4.477
8.2,18863.69741,-37711.44044,-39.366679,113.479,4.478
8.3,18863.97241,-37711.30289,-39.367269,113.479,4.478
8.4,18864.2474,-37711.16533,-39.367859,113.48,4.479
8.5,18864.52239,-37711.02777,-39.368449,113.48,4.479
8.6,18864.79739,-37710.8902,-39.36904,113.481,4.48
8.7,18865.07238,-37710.75264,-39.36963,113.481,4.48
8.8,18865.34737,-37710.61507,-39.37022,113.482,4.481
8.9,18865.62236,-37710.4775,-39.37081,113.483,4.481
9,18865.89734,-37710.33993,-39.3714,113.483,4.482
9.1,18866.17233,-37710.20235,-39.371991,113.484,4.483
9.2,18866.44732,-37710.06478,-39.372581,113.484,4.483
9.3,18866.7223,-37709.9272,-39.373171,113.485,4.484
9.4,18866.99729,-37709.78962,-39.373761,113.485,4.484
9.5,18867.27227,-37709.65204,-39.374351,113.486,4.485
9.6,18867.54725,-37709.51446,-39.374942,113.486,4.485
9.7,18867.82223,-37709.37687,-39.375532,113.487,4.486
9.8,18868.09721,-37709.23928,-39.376122,113.487,4.486
9.9,18868.37219,-37709.10169,-39.376712,113.488,4.487
10,18868.64717,-37708.9641,-39.377302,113.489,4.487
10.1,18868.92215,-37708.82651,-39.377893,113.489,4.488
10.2,18869.19712,-37708.68891,-39.378483,113.49,4.488
10.3,18869.4721,-37708.55131,-39.379073,113.49,4.489
10.4,18869.74707,-37708.41372,-39.379663,113.491,4.489
10.5,18870.02204,-37708.27611,-39.380253,113.491,4.49
10.6,18870.29702,-37708.13851,-39.380843,113.492,4.49
10.7,18870.57199,-37708.0009,-39.381434,113.492,4.491
10.8,18870.84696,-37707.8633,-39.382024,113.493,4.491
10.9,18871.12193,-37707.72569,-39.382614,113.493,4.492
11,18871.39689,-37707.58807,-39.383204,113.494,4.492
11.1,18871.67186,-37707.45046,-39.383794,113.495,4.493
11.2,18871.94683,-37707.31285,-39.384384,113.495,4.493
11.3,18872.22179,-37707.17523,-39.384975,113.496,4.494
11.4,18872.49676,-37707.03761,-39.385565,113.496,4.494
11.5,18872.77172,-37706.89999,-39.386155,113.497,4.495
11.6,18873.04668,-37706.76236,-39.386745,113.497,4.495
11.7,18873.32164,-37706.62474,-39.387335,113.498,4.496
11.8,18873.5966,-37706.48711,-39.387925,113.498,4.496
11.9,18873.87156,-37706.34948,-39.388515,113.499,4.497
12,18874.14652,-37706.21185,-39.389106,113.5,4.497
12.1,18874.42148,-37706.07421,-39.389696,113.5,4.498
12.2,18874.69643,-37705.93658,-39.390286,113.501,4.499
12.3,18874.97139,-37705.79894,-39.390876,113.501,4.499
12.4,18875.24634,-37705.6613,-39.391466,113.502,4.5
12.5,18875.52129,-37705.52366,-39.392056,113.502,4.5
12.6,18875.79625,-37705.38601,-39.392646,113.503,4.501
12.7,18876.0712,-37705.24837,-39.393237,113.503,4.501
12.8,18876.34615,-37705.11072,-39.393827,113.504,4.502
12.9,18876.6211,-37704.97307,-39.394417,113.504,4.502
13,18876.89604,-37704.83542,-39.395007,113.505,4.503
13.1,18877.17099,-37704.69777,-39.395597,113.506,4.503
13.2,18877.44594,-37704.56011,-39.396187,113.506,4.504
13.3,18877.72088,-37704.42245,-39.396777,113.507,4.504
13.4,18877.99582,-37704.28479,-39.397367,113.507,4.505
13.5,18878.27077,-37704.14713,-39.397957,113.508,4.505
13.6,18878.54571,-37704.00947,-39.398548,113.508,4.506
13.7,18878.82065,-37703.8718,-39.399138,113.509,4.506
13.8,18879.09559,-37703.73413,-39.399728,113.509,4.507
13.9,18879.37053,-37703.59646,-39.400318,113.51,4.507
14,18879.64547,-37703.45879,-39.400908,113.51,4.508
14.1,18879.9204,-37703.32112,-39.401498,113.511,4.508
14.2,18880.19534,-37703.18344,-39.402088,113.512,4.509
14.3,18880.47027,-37703.04576,-39.402678,113.512,4.509
14.4,18880.74521,-37702.90808,-39.403268,113.513,4.51
14.5,18881.02014,-37702.7704,-39.403858,113.513,4.51
14.6,18881.29507,-37702.63272,-39.404449,113.514,4.511
