Time (EpSec),x (km),y (km),z (km),vx (km/sec),vy (km/sec),vz (km/sec)
7.1,4182.929057,-3912.469115,2842.755675,0.346344,-1.892377,3.191345
7.2,4182.963659,-3912.658323,2843.074788,0.345706,-1.891781,3.190911
7.3,4182.998198,-3912.847472,2843.393857,0.345069,-1.891184,3.190478
7.4,4183.032673,-3913.03656,2843.712883,0.344431,-1.890588,3.190045
7.5,4183.067084,-3913.225589,2844.031866,0.343794,-1.889991,3.189611
7.6,4183.101432,-3913.414558,2844.350805,0.343156,-1.889395,3.189178
7.7,4183.135716,-3913.603468,2844.669702,0.342519,-1.888799,3.188744
7.8,4183.169936,-3913.792318,2844.988554,0.341882,-1.888203,3.188311
7.9,4183.204092,-3913.981109,2845.307364,0.341244,-1.887606,3.187878
8,4183.238185,-3914.169839,2845.62613,0.340607,-1.88701,3.187444
8.1,4183.272213,-3914.358511,2845.944853,0.33997,-1.886414,3.187011
8.2,4183.306179,-3914.547122,2846.263532,0.339333,-1.885818,3.186578
8.3,4183.34008,-3914.735674,2846.582168,0.338696,-1.885222,3.186144
8.4,4183.373918,-3914.924167,2846.900761,0.33806,-1.884626,3.185711
8.5,4183.407692,-3915.1126,2847.21931,0.337423,-1.884031,3.185278
8.6,4183.441403,-3915.300973,2847.537816,0.336786,-1.883435,3.184844
8.7,4183.475049,-3915.489287,2847.856279,0.33615,-1.882839,3.184411
8.8,4183.508632,-3915.677541,2848.174699,0.335513,-1.882243,3.183978
8.9,4183.542152,-3915.865735,2848.493075,0.334877,-1.881648,3.183544
9,4183.575608,-3916.05387,2848.811408,0.334241,-1.881052,3.183111
9.1,4183.609,-3916.241946,2849.129697,0.333604,-1.880456,3.182678
9.2,4183.642329,-3916.429962,2849.447943,0.332968,-1.879861,3.182245
9.3,4183.675594,-3916.617918,2849.766146,0.332332,-1.879265,3.181811
9.4,4183.708795,-3916.805815,2850.084305,0.331696,-1.87867,3.181378
9.5,4183.741933,-3916.993652,2850.402422,0.33106,-1.878075,3.180945
9.6,4183.775007,-3917.18143,2850.720494,0.330424,-1.877479,3.180512
9.7,4183.808018,-3917.369148,2851.038524,0.329789,-1.876884,3.180078
9.8,4183.840965,-3917.556806,2851.35651,0.329153,-1.876289,3.179645
9.9,4183.873848,-3917.744405,2851.674453,0.328517,-1.875694,3.179212
10,4183.906668,-3917.931945,2851.992352,0.327882,-1.875098,3.178779
10.1,4183.939425,-3918.119425,2852.310209,0.327246,-1.874503,3.178346
10.2,4183.972118,-3918.306846,2852.628022,0.326611,-1.873908,3.177912
10.3,4184.004747,-3918.494207,2852.945791,0.325976,-1.873313,3.177479
10.4,4184.037313,-3918.681508,2853.263517,0.32534,-1.872718,3.177046
10.5,4184.069815,-3918.868751,2853.5812,0.324705,-1.872124,3.176613
10.6,4184.102254,-3919.055933,2853.89884,0.32407,-1.871529,3.17618
10.7,4184.134629,-3919.243056,2854.216436,0.323435,-1.870934,3.175747
10.8,4184.166941,-3919.43012,2854.533989,0.3228,-1.870339,3.175314
10.9,4184.199189,-3919.617124,2854.851499,0.322165,-1.869745,3.17488
11,4184.231374,-3919.804069,2855.168965,0.321531,-1.86915,3.174447
11.1,4184.263495,-3919.990954,2855.486389,0.320896,-1.868555,3.174014
11.2,4184.295553,-3920.17778,2855.803768,0.320261,-1.867961,3.173581
11.3,4184.327547,-3920.364546,2856.121105,0.319627,-1.867366,3.173148
11.4,4184.359478,-3920.551253,2856.438398,0.318992,-1.866772,3.172715
11.5,4184.391346,-3920.737901,2856.755648,0.318358,-1.866177,3.172282
11.6,4184.42315,-3920.924489,2857.072854,0.317724,-1.865583,3.171849
11.7,4184.454891,-3921.111017,2857.390017,0.317089,-1.864989,3.171416
11.8,4184.486568,-3921.297486,2857.707137,0.316455,-1.864395,3.170983
11.9,4184.518182,-3921.483896,2858.024214,0.315821,-1.8638,3.17055
12,4184.549732,-3921.670247,2858.341247,0.315187,-1.863206,3.170117
12.1,4184.581219,-3921.856537,2858.658237,0.314553,-1.862612,3.169684
12.2,4184.612643,-3922.042769,2858.975184,0.313919,-1.862018,3.16925
12.3,4184.644003,-3922.228941,2859.292087,0.313286,-1.861424,3.168817
12.4,4184.6753,-3922.415054,2859.608947,0.312652,-1.86083,3.168384
12.5,4184.706533,-3922.601107,2859.925764,0.312018,-1.860236,3.167951
12.6,4184.737704,-3922.787101,2860.242538,0.311385,-1.859642,3.167518
12.7,4184.76881,-3922.973036,2860.559268,0.310751,-1.859049,3.167085
12.8,4184.799854,-3923.158911,2860.875955,0.310118,-1.858455,3.166653
12.9,4184.830834,-3923.344726,2861.192598,0.309485,-1.857861,3.16622
13,4184.861751,-3923.530483,2861.509199,0.308851,-1.857267,3.165787
13.1,4184.892604,-3923.71618,2861.825756,0.308218,-1.856674,3.165354
13.2,4184.923394,-3923.901818,2862.14227,0.307585,-1.85608,3.164921
13.3,4184.954121,-3924.087396,2862.45874,0.306952,-1.855487,3.164488
13.4,4184.984785,-3924.272915,2862.775167,0.306319,-1.854893,3.164055
13.5,4185.015385,-3924.458375,2863.091551,0.305687,-1.8543,3.163622
13.6,4185.045922,-3924.643775,2863.407891,0.305054,-1.853706,3.163189
13.7,4185.076396,-3924.829116,2863.724189,0.304421,-1.853113,3.162756
13.8,4185.106806,-3925.014398,2864.040443,0.303788,-1.85252,3.162323
13.9,4185.137154,-3925.19962,2864.356653,0.303156,-1.851927,3.16189
14,4185.167438,-3925.384783,2864.672821,0.302523,-1.851333,3.161457
14.1,4185.197658,-3925.569887,2864.988945,0.301891,-1.85074,3.161025
14.2,4185.227816,-3925.754931,2865.305026,0.301259,-1.850147,3.160592
14.3,4185.25791,-3925.939916,2865.621063,0.300627,-1.849554,3.160159
14.4,4185.287941,-3926.124842,2865.937057,0.299994,-1.848961,3.159726
14.5,4185.317909,-3926.309708,2866.253008,0.299362,-1.848368,3.159293
14.6,4185.347814,-3926.494515,2866.568916,0.29873,-1.847775,3.15886
14.7,4185.377655,-3926.679263,2866.88478,0.298098,-1.847182,3.158427
14.8,4185.407433,-3926.863952,2867.200602,0.297467,-1.84659,3.157995
14.9,4185.437148,-3927.048581,2867.516379,0.296835,-1.845997,3.157562
15,4185.4668,-3927.233151,2867.832114,0.296203,-1.845404,3.157129
15.1,4185.496389,-3927.417662,2868.147805,0.295572,-1.844812,3.156696
15.2,4185.525915,-3927.602114,2868.463453,0.29494,-1.844219,3.156263
15.3,4185.555377,-3927.786506,2868.779058,0.294309,-1.843626,3.155831
15.4,4185.584776,-3927.970839,2869.094619,0.293677,-1.843034,3.155398
15.5,4185.614112,-3928.155113,2869.410137,0.293046,-1.842441,3.154965
15.6,4185.643385,-3928.339327,2869.725612,0.292415,-1.841849,3.154532
15.7,4185.672595,-3928.523482,2870.041044,0.291783,-1.841257,3.1541
15.8,4185.701742,-3928.707578,2870.356432,0.291152,-1.840664,3.153667
15.9,4185.730826,-3928.891615,2870.671777,0.290521,-1.840072,3.153234
16,4185.759846,-3929.075593,2870.987079,0.28989,-1.83948,3.152801
16.1,4185.788804,-3929.259511,2871.302338,0.28926,-1.838888,3.152369
16.2,4185.817698,-3929.44337,2871.617553,0.288629,-1.838295,3.151936
16.3,4185.84653,-3929.62717,2871.932725,0.287998,-1.837703,3.151503
16.4,4185.875298,-3929.810911,2872.247853,0.287368,-1.837111,3.151071
16.5,4185.904003,-3929.994592,2872.562939,0.286737,-1.836519,3.150638
16.6,4185.932645,-3930.178215,2872.877981,0.286106,-1.835927,3.150205
16.7,4185.961225,-3930.361778,2873.19298,0.285476,-1.835336,3.149773
16.8,4185.989741,-3930.545282,2873.507936,0.284846,-1.834744,3.14934
16.9,4186.018194,-3930.728727,2873.822848,0.284216,-1.834152,3.148907
17,4186.046584,-3930.912112,2874.137717,0.283585,-1.83356,3.148475
17.1,4186.074911,-3931.095439,2874.452543,0.282955,-1.832968,3.148042
17.2,4186.103175,-3931.278706,2874.767325,0.282325,-1.832377,3.147609
17.3,4186.131376,-3931.461914,2875.082065,0.281695,-1.831785,3.147177
17.4,4186.159514,-3931.645063,2875.396761,0.281065,-1.831194,3.146744
17.5,4186.187589,-3931.828153,2875.711413,0.280436,-1.830602,3.146311
17.6,4186.215601,-3932.011183,2876.026023,0.279806,-1.830011,3.145879
17.7,4186.24355,-3932.194155,2876.340589,0.279176,-1.829419,3.145446
17.8,4186.271436,-3932.377067,2876.655112,0.278547,-1.828828,3.145014
17.9,4186.299259,-3932.55992,2876.969592,0.277917,-1.828236,3.144581
18,4186.32702,-3932.742715,2877.284028,0.277288,-1.827645,3.144148
18.1,4186.354717,-3932.92545,2877.598422,0.276658,-1.827054,3.143716
18.2,4186.382351,-3933.108125,2877.912772,0.276029,-1.826463,3.143283
18.3,4186.409923,-3933.290742,2878.227078,0.2754,-1.825872,3.142851
18.4,4186.437431,-3933.4733,2878.541342,0.274771,-1.825281,3.142418
18.5,4186.464877,-3933.655798,2878.855562,0.274142,-1.82469,3.141986
18.6,4186.49226,-3933.838238,2879.169739,0.273513,-1.824099,3.141553
18.7,4186.51958,-3934.020618,2879.483873,0.272884,-1.823508,3.141121
18.8,4186.546837,-3934.202939,2879.797963,0.272255,-1.822917,3.140688
18.9,4186.574031,-3934.385201,2880.11201,0.271626,-1.822326,3.140256
19,4186.601162,-3934.567404,2880.426014,0.270998,-1.821735,3.139823
19.1,4186.62823,-3934.749548,2880.739975,0.270369,-1.821144,3.139391
19.2,4186.655236,-3934.931633,2881.053892,0.269741,-1.820554,3.138958
19.3,4186.682178,-3935.113659,2881.367766,0.269112,-1.819963,3.138526
19.4,4186.709058,-3935.295626,2881.681597,0.268484,-1.819372,3.138093
19.5,4186.735875,-3935.477533,2881.995385,0.267856,-1.818782,3.137661
19.6,4186.762629,-3935.659382,2882.30913,0.267227,-1.818191,3.137228
19.7,4186.789321,-3935.841172,2882.622831,0.266599,-1.817601,3.136796
19.8,4186.815949,-3936.022902,2882.936489,0.265971,-1.81701,3.136363
19.9,4186.842515,-3936.204574,2883.250103,0.265343,-1.81642,3.135931
20,4186.869018,-3936.386186,2883.563675,0.264715,-1.81583,3.135498
20.1,4186.895458,-3936.56774,2883.877203,0.264087,-1.815239,3.135066
20.2,4186.921835,-3936.749234,2884.190688,0.26346,-1.814649,3.134634
20.3,4186.94815,-3936.93067,2884.50413,0.262832,-1.814059,3.134201
20.4,4186.974402,-3937.112046,2884.817528,0.262204,-1.813469,3.133769
20.5,4187.000591,-3937.293363,2885.130884,0.261577,-1.812879,3.133336
20.6,4187.026717,-3937.474622,2885.444196,0.260949,-1.812289,3.132904
20.7,4187.052781,-3937.655821,2885.757464,0.260322,-1.811699,3.132472
20.8,4187.078782,-3937.836961,2886.07069,0.259695,-1.811109,3.132039
20.9,4187.10472,-3938.018043,2886.383872,0.259067,-1.810519,3.131607
21,4187.130595,-3938.199065,2886.697011,0.25844,-1.809929,3.131175
21.1,4187.156408,-3938.380028,2887.010107,0.257813,-1.809339,3.130742
21.2,4187.182158,-3938.560933,2887.32316,0.257186,-1.808749,3.13031
21.3,4187.207845,-3938.741778,2887.636169,0.256559,-1.80816,3.129878
21.4,4187.23347,-3938.922565,2887.949135,0.255932,-1.80757,3.129445
21.5,4187.259031,-3939.103292,2888.262058,0.255306,-1.80698,3.129013
21.6,4187.284531,-3939.283961,2888.574938,0.254679,-1.806391,3.128581
21.7,4187.309967,-3939.46457,2888.887774,0.254052,-1.805801,3.128148
21.8,4187.335341,-3939.645121,2889.200567,0.253426,-1.805212,3.127716
21.9,4187.360652,-3939.825613,2889.513317,0.252799,-1.804622,3.127284
22,4187.385901,-3940.006045,2889.826024,0.252173,-1.804033,3.126851
22.1,4187.411087,-3940.186419,2890.138688,0.251546,-1.803443,3.126419
22.2,4187.43621,-3940.366734,2890.451308,0.25092,-1.802854,3.125987
22.3,4187.461271,-3940.54699,2890.763885,0.250294,-1.802265,3.125555
22.4,4187.486269,-3940.727187,2891.076419,0.249668,-1.801676,3.125122
22.5,4187.511205,-3940.907325,2891.38891,0.249042,-1.801086,3.12469
22.6,4187.536077,-3941.087404,2891.701357,0.248416,-1.800497,3.124258
22.7,4187.560888,-3941.267425,2892.013761,0.24779,-1.799908,3.123826
22.8,4187.585635,-3941.447386,2892.326122,0.247164,-1.799319,3.123393
22.9,4187.610321,-3941.627289,2892.63844,0.246538,-1.79873,3.122961
23,4187.634943,-3941.807132,2892.950714,0.245913,-1.798141,3.122529
23.1,4187.659503,-3941.986917,2893.262946,0.245287,-1.797552,3.122097
23.2,4187.684,-3942.166643,2893.575134,0.244662,-1.796964,3.121664
23.3,4187.708435,-3942.34631,2893.887278,0.244036,-1.796375,3.121232
23.4,4187.732808,-3942.525918,2894.19938,0.243411,-1.795786,3.1208
23.5,4187.757118,-3942.705467,2894.511438,0.242785,-1.795197,3.120368
23.6,4187.781365,-3942.884957,2894.823454,0.24216,-1.794609,3.119936
23.7,4187.80555,-3943.064388,2895.135426,0.241535,-1.79402,3.119504
23.8,4187.829672,-3943.243761,2895.447354,0.24091,-1.793431,3.119071
23.9,4187.853732,-3943.423075,2895.75924,0.240285,-1.792843,3.118639
24,4187.877729,-3943.60233,2896.071082,0.23966,-1.792254,3.118207
24.1,4187.901664,-3943.781526,2896.382881,0.239035,-1.791666,3.117775
24.2,4187.925536,-3943.960663,2896.694637,0.23841,-1.791078,3.117343
24.3,4187.949346,-3944.139741,2897.00635,0.237786,-1.790489,3.116911
24.4,4187.973093,-3944.318761,2897.318019,0.237161,-1.789901,3.116479
24.5,4187.996778,-3944.497721,2897.629646,0.236536,-1.789313,3.116046
24.6,4188.0204,-3944.676623,2897.941229,0.235912,-1.788725,3.115614
24.7,4188.04396,-3944.855466,2898.252768,0.235287,-1.788136,3.115182
24.8,4188.067458,-3945.034251,2898.564265,0.234663,-1.787548,3.11475
24.9,4188.090893,-3945.212976,2898.875718,0.234039,-1.78696,3.114318
25,4188.114265,-3945.391643,2899.187129,0.233415,-1.786372,3.113886
25.1,4188.137576,-3945.57025,2899.498496,0.23279,-1.785784,3.113454
25.2,4188.160824,-3945.748799,2899.809819,0.232166,-1.785196,3.113022
25.3,4188.184009,-3945.92729,2900.1211,0.231542,-1.784608,3.11259
25.4,4188.207132,-3946.105721,2900.432337,0.230919,-1.784021,3.112158
25.5,4188.230193,-3946.284094,2900.743532,0.230295,-1.783433,3.111726
25.6,4188.253191,-3946.462408,2901.054683,0.229671,-1.782845,3.111294
25.7,4188.276127,-3946.640663,2901.36579,0.229047,-1.782257,3.110862
25.8,4188.299,-3946.818859,2901.676855,0.228424,-1.78167,3.11043
25.9,4188.321812,-3946.996997,2901.987876,0.2278,-1.781082,3.109998
26,4188.34456,-3947.175076,2902.298854,0.227177,-1.780495,3.109566
26.1,4188.367247,-3947.353096,2902.609789,0.226553,-1.779907,3.109134
26.2,4188.389871,-3947.531057,2902.920681,0.22593,-1.77932,3.108702
26.3,4188.412433,-3947.70896,2903.23153,0.225307,-1.778732,3.10827
